clip_id,generator,label,source_url
sora_lagos,sora,fake,https://www.youtube.com/watch?v=HK6y8DAPN_0
veo_night_cityscape,veo,fake,https://www.youtube.com/watch?v=1L5OCzHuwCA
real_paragliding_9Ft1vCRFsbI,real,real,https://www.youtube.com/watch?v=9Ft1vCRFsbI
veo_hot_air_balloon,veo,fake,https://www.youtube.com/watch?v=1L5OCzHuwCA
real_walking_the_dog_PUsfPD6SNE0,real,real,https://www.youtube.com/watch?v=PUsfPD6SNE0
veo_leopard_in_snow,veo,fake,https://www.youtube.com/watch?v=KIRh5ZnWZ5o
real_motorcycling_H--Ww0gGDWU,real,real,https://www.youtube.com/watch?v=H--Ww0gGDWU
real_feeding_birds_IZmQ1ndVmyc,real,real,https://www.youtube.com/watch?v=IZmQ1ndVmyc
real_tai_chi_mgiM72pnseY,real,real,https://www.youtube.com/watch?v=mgiM72pnseY
real_sailing_51BxyRNgLZM,real,real,https://www.youtube.com/watch?v=51BxyRNgLZM
veo_lost_waterfall,veo,fake,https://www.youtube.com/watch?v=1L5OCzHuwCA
real_flying_kite_POqqwxdK2f8,real,real,https://www.youtube.com/watch?v=POqqwxdK2f8
kling_vampire_dentist,kling,fake,"https://x.com (community, @KlingAI tagged)"
kling_woman_coal_chamber,kling,fake,https://www.youtube.com/watch?v=s5j_m68SC4U
real_surfing_water_p7Z0VAa5O_Y,real,real,https://www.youtube.com/watch?v=Y
real_motorcycling_Kuqn4KfEFgM,real,real,https://www.youtube.com/watch?v=Kuqn4KfEFgM
real_flying_kite_0yNXOIqJLtA,real,real,https://www.youtube.com/watch?v=0yNXOIqJLtA
real_scuba_diving_KViUY2HPXJI,real,real,https://www.youtube.com/watch?v=KViUY2HPXJI
real_sailing_wZ46N9NSVGc,real,real,https://www.youtube.com/watch?v=wZ46N9NSVGc
sora_lost_lone_wolf,sora,fake,https://www.youtube.com/watch?v=HK6y8DAPN_0
real_walking_the_dog_q7SprFkmpPU,real,real,https://www.youtube.com/watch?v=q7SprFkmpPU
real_petting_cat_s1j82uqbpZo,real,real,https://www.youtube.com/watch?v=s1j82uqbpZo
real_paragliding_jdpy9ToCszY,real,real,https://www.youtube.com/watch?v=jdpy9ToCszY
real_feeding_birds_sFobl5_CbJk,real,real,https://www.youtube.com/watch?v=CbJk
kling_girl_animals_fantasy_land,kling,fake,https://www.youtube.com/watch?v=s5j_m68SC4U
kling_parasitical_creature,kling,fake,"https://x.com (community, @KlingAI tagged)"
real_jogging_kBUt5duOHFU,real,real,https://www.youtube.com/watch?v=kBUt5duOHFU
real_skateboarding_pk8dy4NIzBU,real,real,https://www.youtube.com/watch?v=pk8dy4NIzBU
sora_paper_origami,sora,fake,https://www.youtube.com/watch?v=HK6y8DAPN_0
veo_colorful_dog,veo,fake,https://www.youtube.com/watch?v=KIRh5ZnWZ5o
kling_cat_as_king,kling,fake,https://www.youtube.com/watch?v=s5j_m68SC4U
real_flying_kite_SEJm27wdQyE,real,real,https://www.youtube.com/watch?v=SEJm27wdQyE
