clip_id,label,generator,scene_type,motion_level,has_faces,resolution,duration_sec,source_url,collection_date,split,difficulty
sora_petri_dish_pandas,fake,sora,mixed,high,true,1280x720,10.87,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,val,
sora_river_birds,fake,sora,landscape,low,true,1280x720,11.43,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,train,
sora_snow_dogs,fake,sora,face,high,true,1280x720,19.43,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,test,
sora_solemn_gentleman,fake,sora,landscape,low,true,1280x720,22.8,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,train,
sora_surfing_otter,fake,sora,mixed,high,true,1280x720,16.8,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,train,
sora_television_gallery,fake,sora,object,static,true,1280x720,21.53,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,train,
sora_the_offroader,fake,sora,object,high,false,1280x720,20.07,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,train,
sora_tokyo_snow,fake,sora,urban,high,true,1280x720,10.13,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,val,
sora_tokyo_tourist,fake,sora,urban,high,true,1280x720,17.87,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,train,
sora_tokyo_train,fake,sora,landscape,low,true,1280x720,9.8,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,val,
sora_woolly_mammoths,fake,sora,landscape,high,true,1280x720,10.53,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,train,
sora_zen_garden_gnome,fake,sora,object,low,true,1280x720,9.77,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,test,
veo_abstract_building,fake,veo,urban,low,false,1280x720,5.04,https://www.youtube.com/watch?v=KIRh5ZnWZ5o,2026-06-04,train,
veo_bbq,fake,veo,object,static,false,1280x720,7.42,https://www.youtube.com/watch?v=1L5OCzHuwCA,2026-06-04,train,
veo_bird_in_forest,fake,veo,landscape,low,true,1280x720,1.04,https://www.youtube.com/watch?v=KIRh5ZnWZ5o,2026-06-04,train,
veo_black_cat_top_hat,fake,veo,face,low,true,1280x720,5.04,https://www.youtube.com/watch?v=KIRh5ZnWZ5o,2026-06-04,train,
veo_blooming_flower,fake,veo,object,low,false,1280x720,5.04,https://www.youtube.com/watch?v=1L5OCzHuwCA,2026-06-04,train,
veo_blue_creature,fake,veo,landscape,high,true,1280x720,8.29,https://www.youtube.com/watch?v=KIRh5ZnWZ5o,2026-06-04,val,
veo_bubble_bath,fake,veo,face,low,true,1280x720,7.04,https://www.youtube.com/watch?v=1L5OCzHuwCA,2026-06-04,val,
veo_cat_on_skateboard,fake,veo,mixed,high,true,1280x720,5.04,https://www.youtube.com/watch?v=KIRh5ZnWZ5o,2026-06-04,train,
veo_cat_on_snowboard,fake,veo,mixed,low,true,1280x720,7.04,https://www.youtube.com/watch?v=KIRh5ZnWZ5o,2026-06-04,train,
veo_city_lights,fake,veo,urban,low,false,1280x720,4.04,https://www.youtube.com/watch?v=1L5OCzHuwCA,2026-06-04,test,
veo_colorful_dog,fake,veo,face,low,true,1280x720,10.04,https://www.youtube.com/watch?v=KIRh5ZnWZ5o,2026-06-04,train,
veo_colorful_lizard,fake,veo,object,static,true,1280x720,2.04,https://www.youtube.com/watch?v=1L5OCzHuwCA,2026-06-04,val,
veo_colour_explosion,fake,veo,landscape,low,false,1280x720,3.04,https://www.youtube.com/watch?v=1L5OCzHuwCA,2026-06-04,train,
veo_crochet_elephant,fake,veo,mixed,low,true,1280x720,7.04,https://www.youtube.com/watch?v=1L5OCzHuwCA,2026-06-04,test,
veo_dog_on_surfboard,fake,veo,mixed,low,true,1280x720,3.04,https://www.youtube.com/watch?v=KIRh5ZnWZ5o,2026-06-04,train,
veo_dog_with_sunglasses,fake,veo,face,static,true,1280x720,3.04,https://www.youtube.com/watch?v=KIRh5ZnWZ5o,2026-06-04,train,
veo_driving_through,fake,veo,urban,low,false,1280x720,3.04,https://www.youtube.com/watch?v=1L5OCzHuwCA,2026-06-04,train,
veo_feathery_bird,fake,veo,object,low,true,1280x720,9.04,https://www.youtube.com/watch?v=KIRh5ZnWZ5o,2026-06-04,test,
veo_film_noir_reading,fake,veo,face,static,true,1280x720,8.42,https://www.youtube.com/watch?v=1L5OCzHuwCA,2026-06-04,train,
veo_floating_buildings,fake,veo,landscape,high,false,1280x720,7.04,https://www.youtube.com/watch?v=KIRh5ZnWZ5o,2026-06-04,train,
veo_flying_through_space,fake,veo,mixed,high,false,1280x720,7.04,https://www.youtube.com/watch?v=1L5OCzHuwCA,2026-06-04,train,
veo_gemstone_world,fake,veo,landscape,high,false,1280x720,5.04,https://www.youtube.com/watch?v=KIRh5ZnWZ5o,2026-06-04,test,
veo_hot_air_balloon,fake,veo,mixed,static,false,1280x720,8.42,https://www.youtube.com/watch?v=1L5OCzHuwCA,2026-06-04,train,
veo_lady_sunglasses_busy_square,fake,veo,mixed,low,true,1280x720,7.04,https://www.youtube.com/watch?v=KIRh5ZnWZ5o,2026-06-04,train,
veo_lake_view,fake,veo,landscape,low,false,1280x720,3.04,https://www.youtube.com/watch?v=1L5OCzHuwCA,2026-06-04,val,
veo_lama_in_field,fake,veo,face,static,true,1280x720,5.04,https://www.youtube.com/watch?v=1L5OCzHuwCA,2026-06-04,train,
veo_leopard_in_snow,fake,veo,landscape,low,true,1280x720,1.04,https://www.youtube.com/watch?v=KIRh5ZnWZ5o,2026-06-04,train,
veo_lighthouse_cliff,fake,veo,landscape,static,false,1280x720,8.42,https://www.youtube.com/watch?v=1L5OCzHuwCA,2026-06-04,test,
veo_lone_rider,fake,veo,mixed,low,true,1280x720,8.42,https://www.youtube.com/watch?v=1L5OCzHuwCA,2026-06-04,train,
veo_lost_waterfall,fake,veo,landscape,low,false,1280x720,5.04,https://www.youtube.com/watch?v=1L5OCzHuwCA,2026-06-04,train,
veo_mountain_dog,fake,veo,landscape,low,false,1280x720,1.04,https://www.youtube.com/watch?v=1L5OCzHuwCA,2026-06-04,train,
veo_night_cityscape,fake,veo,urban,low,false,1280x720,6.04,https://www.youtube.com/watch?v=1L5OCzHuwCA,2026-06-04,train,
veo_noir_alley,fake,veo,urban,low,false,1280x720,7.04,https://www.youtube.com/watch?v=1L5OCzHuwCA,2026-06-04,train,
veo_northern_lights,fake,veo,landscape,high,false,1280x720,7.04,https://www.youtube.com/watch?v=1L5OCzHuwCA,2026-06-04,train,
veo_otter_in_stream,fake,veo,mixed,low,true,1280x720,8.29,https://www.youtube.com/watch?v=KIRh5ZnWZ5o,2026-06-04,val,
veo_paradise_island_and_dancing_lamas,fake,veo,landscape,high,true,1280x720,9.04,https://www.youtube.com/watch?v=1L5OCzHuwCA,2026-06-04,train,
veo_silhouette_walking_into_light,fake,veo,face,high,true,1280x720,6.04,https://www.youtube.com/watch?v=KIRh5ZnWZ5o,2026-06-04,train,
veo_slow_motion_dog_balloon,fake,veo,mixed,high,true,1280x720,6.29,https://www.youtube.com/watch?v=KIRh5ZnWZ5o,2026-06-04,train,
veo_swimming_jellyfish,fake,veo,landscape,high,false,1280x720,9.04,https://www.youtube.com/watch?v=1L5OCzHuwCA,2026-06-04,train,
veo_swimming_turtle,fake,veo,landscape,high,true,1280x720,2.04,https://www.youtube.com/watch?v=1L5OCzHuwCA,2026-06-04,test,
veo_underwater_painted_lady,fake,veo,mixed,high,true,1280x720,7.29,https://www.youtube.com/watch?v=KIRh5ZnWZ5o,2026-06-04,val,
kling_alien_flying_car,fake,kling,mixed,high,true,1280x720,8.5,https://www.youtube.com/watch?v=s5j_m68SC4U,2026-06-05,train,
kling_aliens_unknown_planet,fake,kling,mixed,high,true,1280x720,9.5,https://www.youtube.com/watch?v=s5j_m68SC4U,2026-06-05,train,
kling_ancient_china_king_queen,fake,kling,mixed,high,true,1280x720,11.04,"https://x.com (community, @KlingAI tagged)",2026-06-05,train,
kling_astronaut_landing_desert,fake,kling,mixed,high,true,1280x720,7.5,https://www.youtube.com/watch?v=s5j_m68SC4U,2026-06-05,train,
kling_astronauts_walking_forest,fake,kling,mixed,high,true,1280x720,6.0,https://www.youtube.com/watch?v=s5j_m68SC4U,2026-06-05,val,
kling_back_to_future_car,fake,kling,urban,high,false,1280x720,8.0,https://www.youtube.com/watch?v=s5j_m68SC4U,2026-06-05,train,
kling_cat_as_king,fake,kling,mixed,high,true,1280x720,5.5,https://www.youtube.com/watch?v=s5j_m68SC4U,2026-06-05,train,
kling_cat_astronaut_space,fake,kling,mixed,high,true,1280x720,12.04,"https://x.com (community, @KlingAI tagged)",2026-06-05,train,
kling_cinematic_skateboarding,fake,kling,urban,high,true,1280x720,76.87,"https://x.com (community, @KlingAI tagged)",2026-06-05,train,
kling_cyborg_in_space,fake,kling,mixed,high,false,1280x720,10.04,"https://x.com (community, @KlingAI tagged)",2026-06-05,train,
kling_deer_misty_forest,fake,kling,mixed,high,true,1280x720,15.04,"https://x.com (community, @KlingAI tagged)",2026-06-05,test,
kling_distressed_woman_rain,fake,kling,mixed,high,true,1280x720,15.04,"https://x.com (community, @KlingAI tagged)",2026-06-05,train,
kling_driving_curved_night,fake,kling,mixed,high,false,1280x720,15.12,"https://x.com (community, @KlingAI tagged)",2026-06-05,val,
kling_family_watching_tv,fake,kling,mixed,high,true,1280x720,10.04,"https://x.com (community, @KlingAI tagged)",2026-06-05,test,
kling_fantasy_land_golden_egg,fake,kling,landscape,high,true,1280x720,4.5,https://www.youtube.com/watch?v=s5j_m68SC4U,2026-06-05,val,
kling_futuristic_hologram,fake,kling,mixed,high,true,1280x720,15.04,"https://x.com (community, @KlingAI tagged)",2026-06-05,val,
kling_girl_animals_fantasy_land,fake,kling,mixed,high,true,1280x720,5.0,https://www.youtube.com/watch?v=s5j_m68SC4U,2026-06-05,train,
kling_girl_on_dinosaur,fake,kling,mixed,high,true,1280x720,10.0,https://www.youtube.com/watch?v=s5j_m68SC4U,2026-06-05,test,
kling_girl_on_flying_bird,fake,kling,mixed,high,true,1280x720,8.5,https://www.youtube.com/watch?v=s5j_m68SC4U,2026-06-05,train,
kling_halo_soldiers_discovery,fake,kling,mixed,high,true,1280x720,15.04,"https://x.com (community, @KlingAI tagged)",2026-06-05,train,
kling_influencer_collagen_mask,fake,kling,face,high,true,1280x720,12.03,"https://x.com (community, @KlingAI tagged)",2026-06-05,train,
kling_intergalactic_alien_fight,fake,kling,mixed,high,true,1280x720,11.04,"https://x.com (community, @KlingAI tagged)",2026-06-05,train,
kling_king_kong_skyscraper,fake,kling,mixed,low,true,1280x720,9.0,https://www.youtube.com/watch?v=s5j_m68SC4U,2026-06-05,test,
kling_lone_explorer_desert,fake,kling,mixed,high,true,1280x720,10.12,"https://x.com (community, @KlingAI tagged)",2026-06-05,test,
kling_model_girl_music_video,fake,kling,face,high,true,1280x720,10.67,"https://x.com (community, @KlingAI tagged)",2026-06-05,train,
kling_monster_alien_jungle,fake,kling,mixed,high,true,1280x720,13.04,"https://x.com (community, @KlingAI tagged)",2026-06-05,train,
kling_ninja_rooftop_fight,fake,kling,mixed,high,true,1280x720,31.07,"https://x.com (community, @KlingAI tagged)",2026-06-05,train,
kling_parasitical_creature,fake,kling,face,high,true,1280x720,5.04,"https://x.com (community, @KlingAI tagged)",2026-06-05,train,
kling_robocop_saves_minnesota,fake,kling,mixed,high,true,1280x720,36.21,"https://x.com (community, @KlingAI tagged)",2026-06-05,train,
kling_robot_tai_chi,fake,kling,object,low,true,1280x720,7.0,https://www.youtube.com/watch?v=s5j_m68SC4U,2026-06-05,train,
kling_robot_tai_chi_on_fire,fake,kling,object,high,true,1280x720,6.0,https://www.youtube.com/watch?v=s5j_m68SC4U,2026-06-05,train,
kling_royal_cat_eating_feast,fake,kling,mixed,high,true,1280x720,5.0,https://www.youtube.com/watch?v=s5j_m68SC4U,2026-06-05,train,
kling_soldier_in_war,fake,kling,mixed,high,true,1280x720,15.04,"https://x.com (community, @KlingAI tagged)",2026-06-05,train,
kling_sports_changing_room,fake,kling,mixed,low,true,1280x720,7.04,"https://x.com (community, @KlingAI tagged)",2026-06-05,val,
kling_vampire_dentist,fake,kling,urban,high,true,1280x720,15.04,"https://x.com (community, @KlingAI tagged)",2026-06-05,train,
kling_woman_biker_dirt_road,fake,kling,mixed,high,true,1280x720,6.5,https://www.youtube.com/watch?v=s5j_m68SC4U,2026-06-05,train,
kling_woman_coal_chamber,fake,kling,mixed,low,true,1280x720,7.0,https://www.youtube.com/watch?v=s5j_m68SC4U,2026-06-05,train,
kling_woman_driving_vintage_car,fake,kling,urban,high,true,1280x720,9.5,https://www.youtube.com/watch?v=s5j_m68SC4U,2026-06-05,train,
kling_woman_flying_vehicle,fake,kling,urban,high,true,1280x720,5.0,https://www.youtube.com/watch?v=s5j_m68SC4U,2026-06-05,train,
kling_woman_futuristic_city,fake,kling,mixed,high,true,1280x720,8.0,https://www.youtube.com/watch?v=s5j_m68SC4U,2026-06-05,val,
kling_woman_in_distress_rain,fake,kling,face,high,true,1280x720,10.04,"https://x.com (community, @KlingAI tagged)",2026-06-05,test,
kling_woman_walking_in_forest,fake,kling,mixed,high,true,1280x720,9.0,https://www.youtube.com/watch?v=s5j_m68SC4U,2026-06-05,test,
real_driving_car_8yRWHKGwKk4,real,real,urban,high,false,1280x720,10.08,https://www.youtube.com/watch?v=8yRWHKGwKk4,2026-06-09,train,
real_driving_car_9c8Mi1WYwOs,real,real,urban,high,false,1280x720,10.04,https://www.youtube.com/watch?v=9c8Mi1WYwOs,2026-06-09,val,
real_driving_car_QkLN_QBF1hI,real,real,urban,high,false,1280x720,10.04,https://www.youtube.com/watch?v=QBF1hI,2026-06-09,train,
real_driving_car_UXLLg2SGJPs,real,real,urban,high,false,1280x720,10.04,https://www.youtube.com/watch?v=UXLLg2SGJPs,2026-06-09,train,
real_driving_car_c8n1096ZMFA,real,real,urban,high,false,1280x720,10.03,https://www.youtube.com/watch?v=c8n1096ZMFA,2026-06-09,train,
real_driving_car_p6vr6WVh2Ss,real,real,urban,high,false,1280x720,10.04,https://www.youtube.com/watch?v=p6vr6WVh2Ss,2026-06-09,train,
real_driving_car_plJH3_MfYzg,real,real,urban,high,false,1280x720,10.04,https://www.youtube.com/watch?v=MfYzg,2026-06-09,test,
real_feeding_birds_264oaD4orK0,real,real,landscape,low,true,1280x720,10.04,https://www.youtube.com/watch?v=264oaD4orK0,2026-06-09,train,
real_feeding_birds_60xhM4Q-3AI,real,real,landscape,low,true,1280x720,10.08,https://www.youtube.com/watch?v=60xhM4Q-3AI,2026-06-09,val,
real_feeding_birds_IZmQ1ndVmyc,real,real,landscape,low,true,1280x720,10.03,https://www.youtube.com/watch?v=IZmQ1ndVmyc,2026-06-09,train,
real_feeding_birds_MrY_E51JAgg,real,real,landscape,low,true,1280x720,10.05,https://www.youtube.com/watch?v=E51JAgg,2026-06-09,train,
real_feeding_birds_O5jFgz3XWxs,real,real,landscape,low,true,1280x720,10.04,https://www.youtube.com/watch?v=O5jFgz3XWxs,2026-06-09,test,
real_feeding_birds_QQ7ndgQPXa0,real,real,landscape,low,true,1280x720,10.03,https://www.youtube.com/watch?v=QQ7ndgQPXa0,2026-06-09,train,
real_feeding_birds_dPlacuftZYM,real,real,landscape,low,true,1280x720,10.02,https://www.youtube.com/watch?v=dPlacuftZYM,2026-06-09,train,
real_feeding_birds_glAQS4T9AYY,real,real,landscape,low,true,1280x720,10.03,https://www.youtube.com/watch?v=glAQS4T9AYY,2026-06-09,test,
real_feeding_birds_lde7qRCvLkQ,real,real,landscape,low,true,1280x720,10.03,https://www.youtube.com/watch?v=lde7qRCvLkQ,2026-06-09,train,
real_feeding_birds_r86Apmb54ZU,real,real,landscape,low,true,1280x720,10.04,https://www.youtube.com/watch?v=r86Apmb54ZU,2026-06-09,train,
real_feeding_birds_rfzoYsbyjuw,real,real,landscape,low,true,1280x720,10.07,https://www.youtube.com/watch?v=rfzoYsbyjuw,2026-06-09,test,
real_feeding_birds_sFobl5_CbJk,real,real,landscape,low,true,1280x720,8.0,https://www.youtube.com/watch?v=CbJk,2026-06-09,train,
real_feeding_birds_thJkxpPcgyY,real,real,landscape,low,true,1280x720,10.04,https://www.youtube.com/watch?v=thJkxpPcgyY,2026-06-09,test,
real_feeding_birds_vcHzAhOheR8,real,real,landscape,low,true,1280x720,10.04,https://www.youtube.com/watch?v=vcHzAhOheR8,2026-06-09,test,
real_flying_kite_0yNXOIqJLtA,real,real,landscape,low,true,1280x720,10.04,https://www.youtube.com/watch?v=0yNXOIqJLtA,2026-06-09,train,
real_flying_kite_29aSgwRL_7Q,real,real,landscape,low,true,1280x720,9.66,https://www.youtube.com/watch?v=7Q,2026-06-09,train,
real_flying_kite_7aUBxzF8sd4,real,real,landscape,low,true,1280x720,10.03,https://www.youtube.com/watch?v=7aUBxzF8sd4,2026-06-09,train,
real_flying_kite_8IRYUWc1dn0,real,real,landscape,low,true,1280x720,10.03,https://www.youtube.com/watch?v=8IRYUWc1dn0,2026-06-09,train,
real_flying_kite_BJ4DdzKi-GE,real,real,landscape,low,true,1280x720,6.03,https://www.youtube.com/watch?v=BJ4DdzKi-GE,2026-06-09,train,
real_flying_kite_POqqwxdK2f8,real,real,landscape,low,true,1280x720,10.04,https://www.youtube.com/watch?v=POqqwxdK2f8,2026-06-09,train,
real_flying_kite_Pqti-H3n2Z8,real,real,landscape,low,true,1280x720,10.03,https://www.youtube.com/watch?v=Pqti-H3n2Z8,2026-06-09,train,
real_flying_kite_QWYIpugAC7A,real,real,landscape,low,true,1280x720,10.04,https://www.youtube.com/watch?v=QWYIpugAC7A,2026-06-09,test,
real_flying_kite_SEJm27wdQyE,real,real,landscape,low,true,1280x720,10.03,https://www.youtube.com/watch?v=SEJm27wdQyE,2026-06-09,train,
real_flying_kite_adkK4b6wN1Y,real,real,landscape,low,true,1280x720,8.04,https://www.youtube.com/watch?v=adkK4b6wN1Y,2026-06-09,train,
real_flying_kite_e0NLScqrdIA,real,real,landscape,low,true,1280x720,10.08,https://www.youtube.com/watch?v=e0NLScqrdIA,2026-06-09,train,
real_jogging_6P7U86sAoFY,real,real,mixed,high,true,1280x720,10.11,https://www.youtube.com/watch?v=6P7U86sAoFY,2026-06-09,val,
real_jogging_BVEpvBjJXf4,real,real,mixed,high,true,1280x720,3.54,https://www.youtube.com/watch?v=BVEpvBjJXf4,2026-06-09,train,
real_jogging_WAx5PiFvdoE,real,real,mixed,high,true,1280x720,10.07,https://www.youtube.com/watch?v=WAx5PiFvdoE,2026-06-09,val,
real_jogging_ceBgJ3GqMvQ,real,real,mixed,high,true,1280x720,10.03,https://www.youtube.com/watch?v=ceBgJ3GqMvQ,2026-06-09,train,
real_jogging_dMt_nuBNdeY,real,real,mixed,high,true,1280x720,10.04,https://www.youtube.com/watch?v=nuBNdeY,2026-06-09,train,
real_jogging_gQjTIrPQhnY,real,real,mixed,high,true,1280x720,10.0,https://www.youtube.com/watch?v=gQjTIrPQhnY,2026-06-09,val,
real_jogging_gf37sAjEfRc,real,real,mixed,high,true,1280x720,10.03,https://www.youtube.com/watch?v=gf37sAjEfRc,2026-06-09,train,
real_jogging_hrquMfA8ToQ,real,real,mixed,high,true,1280x720,7.83,https://www.youtube.com/watch?v=hrquMfA8ToQ,2026-06-09,train,
real_jogging_kBUt5duOHFU,real,real,mixed,high,true,1280x720,10.03,https://www.youtube.com/watch?v=kBUt5duOHFU,2026-06-09,train,
real_motorcycling_5Q3ucN4mL-M,real,real,urban,high,false,1280x720,10.03,https://www.youtube.com/watch?v=5Q3ucN4mL-M,2026-06-09,train,
real_motorcycling_Dd5RtuHEJXw,real,real,urban,high,false,1280x720,10.04,https://www.youtube.com/watch?v=Dd5RtuHEJXw,2026-06-09,train,
real_motorcycling_G0cjkxBtpBg,real,real,urban,high,false,1280x720,10.03,https://www.youtube.com/watch?v=G0cjkxBtpBg,2026-06-09,val,
real_motorcycling_H--Ww0gGDWU,real,real,urban,high,false,1280x720,10.04,https://www.youtube.com/watch?v=H--Ww0gGDWU,2026-06-09,train,
real_motorcycling_Kuqn4KfEFgM,real,real,urban,high,false,1280x720,10.04,https://www.youtube.com/watch?v=Kuqn4KfEFgM,2026-06-09,train,
real_motorcycling_WCRqPVXwgD4,real,real,urban,high,false,1280x720,10.03,https://www.youtube.com/watch?v=WCRqPVXwgD4,2026-06-09,train,
real_motorcycling__8uj4hCgZCc,real,real,urban,high,false,1280x720,6.03,https://www.youtube.com/watch?v=8uj4hCgZCc,2026-06-09,train,
real_motorcycling_jZznXHyEG3Q,real,real,urban,high,false,1280x720,7.6,https://www.youtube.com/watch?v=jZznXHyEG3Q,2026-06-09,val,
real_motorcycling_npQxzHc_9vs,real,real,urban,high,false,1280x720,10.04,https://www.youtube.com/watch?v=9vs,2026-06-09,val,
real_motorcycling_sZKThIB9zow,real,real,urban,high,false,1280x720,10.01,https://www.youtube.com/watch?v=sZKThIB9zow,2026-06-09,train,
real_paragliding_-errNPiGXF4,real,real,landscape,high,true,1280x720,10.04,https://www.youtube.com/watch?v=-errNPiGXF4,2026-06-09,train,
real_paragliding_6xN_o2A4yfk,real,real,landscape,high,true,1280x720,10.04,https://www.youtube.com/watch?v=o2A4yfk,2026-06-09,train,
real_paragliding_9Ft1vCRFsbI,real,real,landscape,high,true,1280x720,10.04,https://www.youtube.com/watch?v=9Ft1vCRFsbI,2026-06-09,train,
real_paragliding_IYNP1CaawP4,real,real,landscape,high,true,1280x720,10.04,https://www.youtube.com/watch?v=IYNP1CaawP4,2026-06-09,test,
real_paragliding_MBfPekugZ5w,real,real,landscape,high,true,1280x720,7.03,https://www.youtube.com/watch?v=MBfPekugZ5w,2026-06-09,train,
real_paragliding_PcZuDZk65JM,real,real,landscape,high,true,1280x720,10.04,https://www.youtube.com/watch?v=PcZuDZk65JM,2026-06-09,train,
real_paragliding_QbCaxcsWm2U,real,real,landscape,high,true,1280x720,10.01,https://www.youtube.com/watch?v=QbCaxcsWm2U,2026-06-09,train,
real_paragliding_TlbQ0xbbpOQ,real,real,landscape,high,true,1280x720,10.01,https://www.youtube.com/watch?v=TlbQ0xbbpOQ,2026-06-09,train,
real_paragliding_ZMaw2ZC_FrU,real,real,landscape,high,true,1280x720,10.05,https://www.youtube.com/watch?v=FrU,2026-06-09,val,
real_paragliding_dotHeimLBCM,real,real,landscape,high,true,1280x720,10.04,https://www.youtube.com/watch?v=dotHeimLBCM,2026-06-09,train,
real_paragliding_jdpy9ToCszY,real,real,landscape,high,true,1280x720,10.03,https://www.youtube.com/watch?v=jdpy9ToCszY,2026-06-09,train,
real_paragliding_lgd-SnI7nwY,real,real,landscape,high,true,1280x720,10.03,https://www.youtube.com/watch?v=lgd-SnI7nwY,2026-06-09,train,
real_paragliding_wdnasc--fCg,real,real,landscape,high,true,1280x720,10.04,https://www.youtube.com/watch?v=wdnasc--fCg,2026-06-09,test,
real_petting_cat_24cgfaG8WI0,real,real,object,static,true,1280x720,10.04,https://www.youtube.com/watch?v=24cgfaG8WI0,2026-06-09,train,
real_petting_cat_5G94o6UdX2w,real,real,object,static,true,1280x720,10.04,https://www.youtube.com/watch?v=5G94o6UdX2w,2026-06-09,test,
real_petting_cat_AyZ2hw6W6_Q,real,real,object,static,true,1280x720,10.05,https://www.youtube.com/watch?v=Q,2026-06-09,train,
real_petting_cat_B9BGRDotBG8,real,real,object,static,true,1280x720,5.03,https://www.youtube.com/watch?v=B9BGRDotBG8,2026-06-09,val,
real_petting_cat_QEWH30i14hA,real,real,object,static,true,1280x720,10.03,https://www.youtube.com/watch?v=QEWH30i14hA,2026-06-09,val,
real_petting_cat_RlsD3VaOj8w,real,real,object,static,true,1280x720,10.02,https://www.youtube.com/watch?v=RlsD3VaOj8w,2026-06-09,train,
real_petting_cat_paqZftDenXs,real,real,object,static,true,1280x720,10.05,https://www.youtube.com/watch?v=paqZftDenXs,2026-06-09,val,
real_petting_cat_qvuM5tRdJ4o,real,real,object,static,true,1280x720,10.07,https://www.youtube.com/watch?v=qvuM5tRdJ4o,2026-06-09,train,
real_petting_cat_s1j82uqbpZo,real,real,object,static,true,1280x720,7.59,https://www.youtube.com/watch?v=s1j82uqbpZo,2026-06-09,train,
real_petting_cat_uhVjg7-2wLs,real,real,object,static,true,1280x720,10.03,https://www.youtube.com/watch?v=uhVjg7-2wLs,2026-06-09,train,
real_petting_cat_v4FPCXxS4OU,real,real,object,static,true,1280x720,10.07,https://www.youtube.com/watch?v=v4FPCXxS4OU,2026-06-09,train,
real_sailing_51BxyRNgLZM,real,real,landscape,low,false,1280x720,10.01,https://www.youtube.com/watch?v=51BxyRNgLZM,2026-06-09,train,
